order_date,price
2024-10-21,167.32
2024-09-10,334.67
2024-08-14,164.11
2025-03-17,332.25
2025-02-04,315.09
2024-04-06,279.12
2024-03-29,486.84
2024-05-03,16.7
2024-08-11,474.06
2025-01-28,355.65
2025-01-07,280.12
2024-12-05,145.36
2024-09-14,148.59
2024-08-15,228.81
2024-12-12,233.12
2024-12-19,197.66
2025-01-07,494.32
2024-12-03,256.12
2024-04-08,267.72
2024-12-26,240.05
2024-12-15,427.65
2024-06-26,27.59
2024-08-24,375.92
2024-08-02,91.52
2025-02-27,185.65
2024-12-14,93.29
2024-04-05,457.29
2024-05-17,336.75
2025-01-22,226.45
2024-05-13,233.85
2024-09-17,126.23
2024-10-13,489.19
2025-02-21,375.13
2024-12-25,321.94
2025-03-13,452.67
2024-08-30,188.78
2024-10-28,108.39
2024-06-17,416.93
2024-12-04,404.07
2024-07-01,483.96
2024-06-19,272.92
2024-09-25,196.7
2024-10-21,22.26
2024-05-14,455.6
2024-11-13,159.14
2024-04-08,200.44
2024-10-14,297.8
2024-08-04,311.67
2024-12-08,475.77
2024-07-17,39.67
2024-08-02,334.76
2024-09-26,129.35
2024-06-29,297.33
2024-10-30,145.86
2024-06-07,333.92
2024-08-12,168.65
2025-02-12,65.69
2025-01-05,63.44
2024-08-21,234.44
2024-08-09,346.19
2025-03-03,308.07
2024-05-18,358.95
2025-03-12,306.66
2024-11-05,220.73
2024-04-27,367.51
2025-01-24,346.54
2024-05-27,57.32
2024-04-08,478.75
2025-01-29,435.37
2025-03-18,60.76
2024-05-31,181.56
2024-12-24,405.54
2024-08-19,22.86
2025-03-18,354.32
2024-12-30,287.5
2025-02-27,375.59
2024-12-27,162.7
2025-01-23,86.23
2024-07-15,247.97
2024-05-14,179.13
2025-02-06,336.89
2024-07-05,110.17
2024-05-14,68.79
2024-08-28,354.8
2024-11-21,204.56
2024-08-10,292.12
2025-01-06,208.47
2025-02-07,53.18
2024-12-19,203.93
2024-09-20,260.14
2024-07-23,366.42
2024-09-12,106.66
2024-06-16,476.13
2024-07-13,343.76
2024-09-07,83.97
2025-02-25,37.52
2024-06-06,190.68
2025-01-03,301.1
2024-10-28,455.43
2024-11-13,83.92
2024-09-24,257.23
2025-03-03,266.15
2025-01-27,389.49
2024-04-17,171.55
2025-01-29,173.35
2025-01-07,73.19
2024-08-12,408.46
2024-06-24,326.55
2024-10-10,476.07
2024-05-10,85.92
2024-03-20,28.5
2024-11-06,85.58
2024-06-09,31.41
2024-08-04,149.61
2024-09-23,483.14
2024-07-03,236.22
2024-03-28,410.28
2025-02-02,281.72
2024-08-15,51.1
2025-02-08,54.94
2024-07-17,36.1
2024-05-26,120.02
2025-03-11,77.42
2025-03-09,229.81
2024-08-01,278.91
2024-10-09,157.56
2024-10-13,40.78
2024-11-12,128.55
2024-12-07,289.63
2024-12-11,477.17
2024-12-28,201.32
2024-06-16,376.19
2025-03-09,370.24
2025-02-05,416.89
2024-04-26,40.92
2024-12-28,164.64
2024-06-26,134.12
2025-01-19,143.88
2024-06-12,176.13
2024-07-02,402.56
2024-12-26,153.95
2024-08-14,305.28
2024-11-14,366.14
2024-07-24,338.88
2025-02-04,79.96
2024-04-07,125.64
2024-03-28,306.5
2025-01-27,291.22
2024-12-24,480.65
2024-05-30,67.7
2024-08-27,350.05
2025-03-07,94.6
2024-08-20,357.67
2024-11-12,398.91
2024-09-20,397.28
2024-05-15,73.59
2024-04-17,211.29
2024-03-30,230.49
2025-01-21,99.16
2024-05-03,263.87
2025-01-27,474.27
2025-01-01,321.18
2024-09-05,55.78
2024-08-11,332.78
2024-08-17,414.37
2024-12-22,329.05
2025-02-07,151.94
2024-07-05,232.24
2024-03-20,109.97
2025-01-23,487.93
2025-02-07,128.45
2024-08-03,152.2
2025-01-28,467.54
2024-05-25,238.74
2024-11-23,234.04
2024-09-07,252.5
2024-08-02,221.15
2024-09-22,206.28
2024-07-24,199.31
2024-12-17,68.22
2024-05-08,470.08
2024-07-09,32.2
2024-04-08,82.98
2025-02-21,202.55
2024-07-03,415.86
2025-03-12,190.5
2024-11-07,302.49
2024-05-02,121.5
2024-07-21,82.41
2024-04-11,19.28
2024-09-24,255.89
2024-09-05,264.15
2024-07-04,163.74
2024-07-12,341.18
2024-03-30,247.25
2024-05-22,355.4
2024-10-03,467.51
2024-12-08,448.92
2024-12-16,30.61
2025-01-24,114.85
2025-01-17,63.52
2024-09-20,322.59
2024-10-27,343.78
2024-08-15,329.92
2024-07-14,149.85
2024-07-23,272.22
2024-08-29,442.3
2024-03-29,101.29
2024-10-14,156.21
2024-08-03,494.66
2024-09-14,239.33
2024-05-30,362.11
2025-03-05,95.99
2024-05-06,52.5
2025-02-28,468.55
2024-11-02,157.95
2024-06-20,40.44
2024-06-21,348.24
2024-12-17,117.37
2024-05-16,213.76
2024-10-19,343.37
2024-07-11,354.85
2025-01-23,109.06
2024-11-19,66.96
2024-06-06,406.26
2024-10-31,283.81
2025-01-03,410.06
2024-03-28,353.19
2024-11-07,25.55
2024-08-02,496.5
2024-07-01,49.32
2024-10-21,97.45
2024-12-31,380.53
2024-04-23,195.85
2025-01-30,469.33
2024-04-21,385.37
2024-05-27,228.76
2024-10-06,225.09
2024-12-25,256.91
2024-09-12,292.96
2024-06-20,118.31
2024-10-07,316.74
2025-02-21,395.04
2024-07-28,100.1
2024-06-24,404.83
2024-05-17,75.71
2024-08-14,425.1
2024-08-18,194.81
2024-11-29,364.91
2025-01-03,478.94
2024-12-12,458.08
2024-04-15,167.59
2025-01-25,138.17
2024-09-05,458.02
2025-02-03,17.95
2024-10-22,84.68
2024-06-17,279.81
2024-04-14,235.81
2024-08-15,100.18
2024-05-25,421.14
2025-02-25,77.37
2024-03-22,257.81
2024-04-07,333.05
2024-10-26,269.41
2024-06-26,405.02
2024-12-26,104.05
2024-05-21,192.8
2025-02-11,345.18
2024-08-27,208.59
2024-12-07,50.52
2024-10-01,460.38
2024-05-27,142.84
2025-03-06,332.47
2024-05-11,80.65
2024-09-09,286.34
2024-11-20,198.08
2024-06-10,375.27
2024-09-09,306.53
2024-12-24,320.72
2025-03-16,101.01
2024-11-06,401.05
2024-07-01,372.43
2024-08-12,186.36
2024-07-03,282.92
2025-01-16,55.6
2024-06-25,212.77
2024-04-22,265.34
2024-07-14,251.63
2024-04-14,393.51
2024-04-30,312.17
2024-04-28,422.39
2024-09-14,409.58
2024-12-10,474.17
2024-05-12,152.81
2024-11-01,194.27
2024-08-19,498.66
2025-02-24,224.84
2025-01-17,78.2
2024-05-01,46.24
2025-02-15,276.39
2025-01-08,63.59
2024-05-04,285.98
2024-12-24,61.91
2024-05-09,294.45
2024-08-25,348.31
2024-07-06,213.83
2024-12-08,162.83
2024-08-17,57.84
2025-01-17,406.99
2024-04-20,465.66
2024-03-21,284.33
2024-06-05,323.83
2024-04-17,300.18
2024-11-13,292.9
2024-05-17,138.55
2024-07-03,309.54
2024-10-12,94.54
2024-07-02,51.53
2024-04-19,192.92
2024-05-01,198.02
2024-10-30,91.76
2025-01-28,36.27
2024-08-09,482.28
2024-09-22,357.97
2024-07-02,153.12
2024-12-25,373.83
2024-07-01,389.81
2025-02-20,117.09
2024-12-19,438.66
2025-03-10,433.99
2025-03-13,431.91
2024-08-17,408.63
2024-07-11,92.5
2024-12-23,76.44
2024-08-17,132.34
2024-12-31,79.66
2024-11-17,320.48
2024-11-29,475.62
2024-10-26,321.07
2024-11-24,116.74
2024-08-30,175.5
2024-07-23,32.51
2024-08-30,226.23
2025-03-01,87.9
2024-06-02,335.61
2024-05-25,220.32
2024-05-04,75.02
2025-01-27,410.38
2024-10-05,53.77
2024-05-13,197.53
2024-12-30,286.01
2024-06-22,460.75
2025-02-24,78.61
2024-12-02,397.63
2024-10-13,304
2024-06-09,110.67
2024-04-21,394.06
2024-05-29,44.8
2024-09-15,431.8
2024-03-28,477.68
2024-03-26,29.52
2024-05-10,385.88
2024-07-11,311.86
2024-04-04,272.83
2024-10-14,352.35
2024-11-14,463.07
2024-05-26,68.53
2024-09-20,266.27
2024-12-10,388
2024-03-26,138.85
2024-05-02,37.17
2024-05-17,340.32
2024-11-20,129.83
2025-03-06,280.9
2024-09-20,213.97
2024-12-21,68.51
2024-08-18,477.5
2024-08-18,52.33
2025-03-12,372.39
2024-08-24,368.91
2024-08-28,21.72
2025-01-25,10.72
2024-04-30,110.55
2024-07-20,55.58
2025-02-21,487.53
2025-03-04,300.03
2024-11-08,137.89
2025-01-18,231.85
2024-09-24,86.15
2024-12-22,185.56
2025-02-21,87.23
2024-04-09,115.36
2024-08-24,261.6
2025-02-26,476.53
2025-01-03,59.93
2024-09-10,107.09
2024-04-25,297.2
2024-10-13,55.07
2024-08-12,462.82
2024-08-07,344.77
2024-10-22,228.55
2024-10-17,254.46
2025-01-14,215.43
2024-04-04,494.81
2024-09-28,457.21
2024-12-28,302.59
2024-12-14,269.42
2024-05-09,331.86
2024-10-07,292.09
2024-12-19,125.91
2024-07-30,354.69
2024-05-09,419.98
2024-10-20,37.52
2024-07-28,459.77
2024-04-03,39.18
2025-02-08,431.73
2024-07-12,59.51
2024-09-13,328.1
2024-11-09,119.39
2024-08-08,97.08
2024-09-28,25.87
2024-06-11,323.43
2024-12-12,179.94
2024-11-09,228.85
2024-11-13,395.64
2024-11-18,443.43
2024-06-14,416.12
2024-06-05,46.12
2024-09-22,177.49
2025-03-16,301.07
2025-01-20,307.59
2024-06-11,210.55
2024-08-25,155.73
2024-11-03,36.71
2024-09-04,107.84
2024-07-03,423.45
2024-04-26,324.51
2024-11-04,228.43
2024-04-07,40.2
2024-08-17,212.85
2024-05-31,215.13
2024-03-23,243.37
2025-02-27,289.9
2024-06-01,68.94
2024-12-03,71.83
2024-09-27,418.71
2024-03-23,200.17
2025-02-24,459.41
2024-11-09,65.13
2024-06-16,285.72
2024-05-28,139.43
2024-12-13,144.95
2025-02-18,203.94
2024-05-11,449.55
2024-07-20,422.99
2024-12-26,157.24
2024-06-12,306.44
2025-01-26,382.15
2024-07-28,162.45
2025-02-09,24.18
2024-03-26,26.2
2024-10-03,413.52
2024-04-23,192.51
2024-09-26,280.15
2024-06-13,23.45
2024-10-01,327.22
2025-01-26,433.67
2024-09-05,402.42
2024-03-27,217.67
2024-12-18,158.05
2025-02-17,260.64
2024-08-04,308.43
2025-01-07,323.89
2024-12-02,83.47
2024-09-26,333.66
2024-03-29,137.12
2024-05-26,409.85
2024-10-08,454.2
2024-08-10,98.76
2024-04-22,473.99
2024-09-07,216.03
2024-11-16,240.56
2024-09-28,445.82
2024-09-14,212.42
2024-11-05,447.49
2024-07-17,248.91
2025-01-06,231.51
2024-07-19,394.75
2024-04-09,220.22
2024-07-31,475.53
2024-04-23,317.08
2024-09-15,60.33
2024-05-24,474.75
2024-03-21,445.11
2024-10-11,90.79
2025-03-13,369.7
2025-02-07,439.51
2024-09-11,334.37
2024-11-23,227.71
2025-01-28,350.64
2024-10-07,142.29
2024-04-05,362.2
2025-01-10,308.41
2024-09-25,154.72
2024-12-23,124.91
2024-11-30,83.08
2025-02-15,325.73
2025-02-12,58.91
2024-06-27,218.74
2024-10-27,427.48
2024-10-14,141.47
2025-01-03,206.38
2024-11-08,327.93
2024-11-01,60.82
2024-12-30,309.55
2025-03-08,461
2024-11-23,330.94
2025-01-30,119.75
2024-11-18,222.1
2024-07-28,421.13
2024-07-18,257.73
2024-08-02,167.11
2025-02-12,325.23
2024-08-23,229.57
2024-10-05,60.3
2024-03-20,481.95
2025-02-09,475.67
2024-12-07,284.47
2024-11-22,65.87
2024-11-12,265.77
2024-07-04,412.7
2024-09-25,101.9
2025-03-12,62.81
2024-07-27,388.35
2024-05-04,482.29
2024-10-02,246.64
2025-02-19,367.94
2024-05-03,257.01
2024-10-23,204.96
2024-05-26,212.25
2024-12-07,358.82
2024-10-30,346.44
2024-12-27,275.82
2024-10-18,245.38
2024-09-08,439.96
2024-05-12,81.21
2024-05-27,344.86
2024-08-17,379.26
2024-12-16,433.77
2024-09-14,349.54
2024-08-04,36.36
2024-08-30,456.63
2024-04-01,371.84
2024-04-07,96.94
2024-09-30,194.83
2025-01-16,424.55
2024-04-13,85.31
2024-09-08,250.37
2025-01-28,117.78
2024-07-29,276.11
2024-05-29,172.22
2024-09-12,498.35
2024-07-12,453.2
2024-11-22,196.87
2024-10-07,456.55
2024-04-16,155.25
2024-10-14,486.1
2024-12-11,433.83
2024-04-26,375.98
2024-05-28,45.89
2025-03-05,456.38
2024-05-21,18.28
2025-03-10,380.42
2024-09-24,62.01
2024-05-23,203.61
2025-01-14,375.91
2024-09-29,479.12
2024-07-06,12.46
2024-12-13,112.93
2025-01-10,79.8
2025-03-01,98.87
2024-04-21,325.89
2025-03-05,365.54
2024-05-03,149.72
2024-12-13,312.01
2025-02-11,405.77
2025-01-13,145.57
2024-08-12,228.23
2024-11-17,422.48
2024-07-22,447.13
2024-06-10,386.91
2024-06-01,241.33
2024-05-14,75.6
2024-04-26,334.71
2024-07-14,88.02
2024-08-18,470.2
2025-03-14,191.02
2025-01-04,240.14
2024-08-12,354.83
2025-01-17,276.73
2024-11-18,263.16
2024-04-26,410.45
2024-06-16,255.9
2025-02-20,113.64
2024-05-08,213.16
2024-09-21,113.24
2024-09-12,72.66
2024-10-02,81.96
2024-09-28,484.93
2024-08-22,116.13
2024-05-17,416.88
2024-11-27,333.23
2024-07-29,299.39
2024-12-16,266.13
2024-09-27,96.94
2024-05-29,378.67
2025-02-16,415.49
2024-08-17,351.84
2024-03-25,298.63
2024-10-15,218.49
2024-09-20,303.16
2024-08-24,266.04
2024-11-20,187.51
2024-07-15,217.55
2025-02-14,212.48
2024-08-25,134.35
2024-12-11,428.95
2024-10-28,115.08
2025-02-14,88.76
2025-02-05,463.67
2024-06-01,308.42
2024-09-08,150.37
2025-02-04,225.1
2024-08-28,105.43
2024-04-11,340.27
2024-06-13,498.44
2024-04-02,263.69
2024-11-04,365.81
2025-03-16,307.12
2025-02-21,95.77
2024-03-27,474.04
2024-10-25,350.15
2025-02-21,343.98
2024-08-24,197.51
2024-11-11,478.17
2024-04-19,150.77
2024-09-08,466.38
2024-04-18,99.56
2025-01-06,125.08
2024-11-26,419.8
2024-08-25,310.78
2024-06-25,164.55
2025-02-21,204.96
2025-03-19,470.43
2024-05-21,488.49
2024-11-11,340.31
2024-04-14,101.7
2025-01-28,189.3
2025-01-12,428.62
2024-12-27,408.95
2024-12-06,106.07
2024-05-15,254.8
2024-12-07,132.98
2024-07-25,115.58
2024-07-28,137.29
2024-10-21,19.72
2025-03-11,292.66
2024-09-23,169.29
2024-06-13,310.7
2024-08-12,216.69
2024-07-11,89.38
2024-09-18,325.88
2024-11-06,265.26
2024-09-09,366.61
2025-02-19,91.79
2024-05-22,36.37
2024-07-24,312.87
2024-03-31,131.22
2024-06-30,24
2024-06-20,487.74
2024-07-25,96.75
2024-10-14,266.5
2024-11-26,121.29
2025-01-28,158.75
2024-10-18,150.51
2024-09-07,14.47
2024-09-22,193.09
2024-10-12,360.32
2024-10-26,216.9
2024-11-14,149.49
2024-03-20,99.38
2025-02-07,353.23
2024-12-13,20.84
2024-07-27,124.08
2024-11-01,395.01
2024-08-29,49.31
2024-04-11,240.37
2025-01-14,69.76
2024-03-20,371.43
2024-12-18,336.34
2024-11-13,87.72
2024-07-25,134.12
2024-09-29,486.9
2024-10-21,296.5
2024-07-16,393.9
2024-09-02,87.27
2025-01-14,184.2
2025-01-13,124.01
2025-02-15,20.46
2024-05-25,356.25
2024-07-15,101.45
2024-12-05,88.57
2024-10-29,189.89
2024-04-21,313.67
2024-06-02,411.33
2024-09-16,310.39
2024-09-17,332.86
2024-10-16,62.46
2024-04-19,267.65
2025-01-31,361.74
2025-03-10,239.35
2024-08-30,399.18
2024-07-26,418.88
2024-06-24,365.33
2024-05-20,316.41
2025-03-14,185.4
2024-05-04,398.31
2024-12-15,499.23
2024-07-23,423.98
2024-12-31,127.95
2024-09-27,481.21
2024-09-22,301.92
2024-10-25,492.35
2024-06-02,260.52
2025-01-15,184.27
2024-03-20,135.56
2025-01-29,364.55
2024-08-17,301.66
2025-02-27,392.26
2025-01-29,436.2
2024-11-16,36.52
2025-01-25,256.18
2024-04-30,378.89
2024-09-21,82.53
2024-06-28,205.6
2024-11-27,245.65
2025-02-26,311.84
2024-11-14,168.47
2024-05-14,180.67
2024-05-28,493.95
2024-09-24,225.83
2024-04-15,372.39
2024-04-07,178.2
2024-12-22,372.61
2025-02-15,246.68
2024-06-24,295.67
2025-01-11,108.34
2024-07-08,200.44
2024-11-24,19.35
2024-10-15,452.9
2024-05-07,255.32
2024-07-25,461.91
2024-07-17,179.92
2024-10-22,407.83
2025-02-24,475.07
2024-12-23,367.65
2025-01-14,127.78
2025-01-15,230.09
2024-12-19,432.67
2024-11-08,497.89
2024-04-10,43.23
2025-03-19,366.27
2024-05-12,227.07
2024-03-28,74.46
2024-05-09,287.85
2024-06-29,48.94
2024-06-29,100.15
2024-07-14,25.79
2024-05-30,381.31
2024-12-11,250.07
2024-07-11,390.35
2024-03-19,309.64
2025-01-11,63.56
2024-09-08,273.56
2024-10-11,152.68
2024-08-12,91.58
2024-06-11,237.15
2025-02-11,391.58
2024-04-19,22.21
2024-07-28,54.19
2024-12-25,54.68
2024-05-31,366.17
2024-04-21,31.51
2024-04-27,435.72
2024-10-26,367.78
2024-10-06,11.73
2024-07-15,405.65
2024-09-04,232.33
2024-07-17,146.28
2024-06-09,82.65
2025-02-06,420.63
2024-11-19,496.93
2024-03-22,395.78
2024-06-27,55.63
2024-12-15,423.22
2024-08-23,268.26
2024-06-25,289.97
2024-03-27,219.26
2024-08-31,464.28
2024-06-18,405.91
2024-08-12,67.92
2025-01-23,499.5
2024-05-15,323.9
2024-09-23,258.28
2024-04-19,204.06
2025-01-17,171.95
2024-06-10,326.37
2024-11-26,236.61
2024-03-28,286.82
2025-01-22,345.89
2024-06-29,491.97
2024-09-24,101.82
2024-10-09,143.03
2024-04-26,115.91
2024-12-20,457.54
2024-10-13,103.2
2024-08-12,387.05
2024-08-17,365.04
2024-03-23,162.38
2024-05-30,238.77
2024-03-24,293
2024-07-03,150.42
2024-05-27,83.17
2024-04-19,60.16
2024-06-26,291.3
2024-07-10,227.39
2024-12-19,197.96
2025-01-24,318.44
2024-11-12,410.55
2024-10-24,288.22
2025-01-06,233.24
2024-07-12,474.25
2025-03-02,99.84
2025-01-26,248.88
2024-11-08,148.31
2024-12-18,410.6
2025-01-07,235.88
2024-12-04,487.21
2024-06-11,394.31
2025-01-26,334.68
2025-03-19,300.16
2025-01-30,160.94
2024-06-12,170.43
2025-01-28,452.6
2024-09-01,270.32
2025-02-05,156.87
2024-05-04,495.24
2024-09-12,427.73
2024-11-06,354.64
2024-09-17,221.54
2024-11-06,196.97
